algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR03_neg,soft_violation_LR03
logistic:single_LR03,0.0,validation,fixed_threshold_0.5,prespecified,2778,0.8563714902807775,0.5,0.0,0.0,1.0,0.0,0.395825257538041,0.11894896582947341,2379,0,399,0,0.5,0.7593610971522965,0.3346097344662093,8.177543611673554,5.715480851711968,0.023758099352051837,66,0.023758099352051837,66,66.0,0.7996402922478147,0.7996402922478147,0.7996402922478146,66,0.03827712761763754,1.0,66,0.7996402922478146
logistic:single_LR03,0.0,test,fixed_threshold_0.5,prespecified,2778,0.8563714902807775,0.5,0.0,0.0,1.0,0.0,0.39548763288073996,0.1188529424855129,2379,0,399,0,0.5,0.7686992807786595,0.3669462263354828,9.342020050892833,6.359396371430544,0.0183585313174946,51,0.0183585313174946,51,51.0,0.7998284295605904,0.7998284295605904,0.7998284295605904,51,0.02964469733539307,1.0,51,0.7998284295605904
logistic:single_LR03,0.1,validation,fixed_threshold_0.5,prespecified,2778,0.8563714902807775,0.5,0.0,0.0,1.0,0.0,0.3952792072744612,0.11876398204705284,2379,0,399,0,0.5,0.758932324506095,0.33393172395541987,7.667472799231477,5.470576830068375,0.023758099352051837,66,0.023758099352051837,66,66.0,0.7945855002087046,0.7945855002087046,0.7945855002087046,66,0.03769022062206836,1.0,66,0.7945855002087046
logistic:single_LR03,0.1,test,fixed_threshold_0.5,prespecified,2778,0.8563714902807775,0.5,0.0,0.0,1.0,0.0,0.3949041195003601,0.11865696106558082,2379,0,399,0,0.5,0.7684000880722192,0.3660474606723207,8.778998272457168,6.089775510562429,0.0183585313174946,51,0.0183585313174946,51,51.0,0.7946668620314077,0.7946668620314077,0.7946668620314078,51,0.02918331939319565,1.0,51,0.7946668620314078
logistic:single_LR03,0.25,validation,fixed_threshold_0.5,prespecified,2778,0.8563714902807775,0.5,0.0,0.0,1.0,0.0,0.39453212219988665,0.11850185739837396,2379,0,399,0,0.5,0.7583234041387621,0.3329896849665107,6.991513896796873,5.145406422125853,0.023758099352051837,66,0.023758099352051837,66,66.0,0.7870189368738942,0.7870189368738942,0.7870189368738942,66,0.03683835418286702,1.0,66,0.7870189368738942
logistic:single_LR03,0.25,test,fixed_threshold_0.5,prespecified,2778,0.8563714902807775,0.5,0.0,0.0,1.0,0.0,0.3940993148716836,0.11837751894871358,2379,0,399,0,0.5,0.7680566485570798,0.36490574234843437,8.031740476022511,5.731216031447786,0.0183585313174946,51,0.0183585313174946,51,51.0,0.786936338556872,0.786936338556872,0.786936338556872,51,0.0285139052194274,1.0,51,0.786936338556872
logistic:single_LR03,0.5,validation,fixed_threshold_0.5,prespecified,2778,0.8563714902807775,0.5,0.0,0.0,1.0,0.0,0.39346704284014283,0.11810600999765829,2379,0,399,0,0.5,0.7574711263235854,0.33188322229071376,6.056286065574092,4.694053592000499,0.023758099352051837,66,0.023758099352051837,66,66.0,0.774508039519376,0.774508039519376,0.774508039519376,66,0.03549460935733806,1.0,66,0.774508039519376
logistic:single_LR03,0.5,test,fixed_threshold_0.5,prespecified,2778,0.8563714902807775,0.5,0.0,0.0,1.0,0.0,0.392934856335413,0.11795083705252989,2379,0,399,0,0.5,0.7674824935394391,0.3626517056140649,6.99550310778983,5.23228582132389,0.0183585313174946,51,0.0183585313174946,51,51.0,0.7741430510336702,0.7741430510336702,0.7741430510336702,51,0.02745835916297374,1.0,51,0.7741430510336702
logistic:single_LR03,0.75,validation,fixed_threshold_0.5,prespecified,2778,0.8563714902807775,0.5,0.0,0.0,1.0,0.0,0.39260545268845526,0.11775948487444023,2379,0,399,0,0.5,0.7566810047396759,0.330736269364665,5.302210071952707,4.328873950274045,0.023758099352051837,66,0.023758099352051837,66,66.0,0.7621449174202874,0.7621449174202874,0.7621449174202874,66,0.03423846591440413,1.0,66,0.7621449174202874
logistic:single_LR03,0.75,test,fixed_threshold_0.5,prespecified,2778,0.8563714902807775,0.5,0.0,0.0,1.0,0.0,0.39197019496187624,0.11757103735952634,2379,0,399,0,0.5,0.7670505604069021,0.361287493864634,6.158232682046022,4.827691794345859,0.0183585313174946,51,0.0183585313174946,51,51.0,0.761491222530677,0.761491222530677,0.7614912225306769,51,0.0264723132443556,1.0,51,0.7614912225306769
logistic:single_LR03,1.0,validation,fixed_threshold_0.5,prespecified,2778,0.8563714902807775,0.5,0.0,0.0,1.0,0.0,0.3919245612120856,0.11746002513976819,2379,0,399,0,0.5,0.7560299445545348,0.3298320351400058,4.682680514395168,4.027860531918622,0.023758099352051837,66,0.023758099352051837,66,66.0,0.7499676177645167,0.7499676177645167,0.7499676177645167,66,0.0330637022805854,1.0,66,0.7499676177645167
logistic:single_LR03,1.0,test,fixed_threshold_0.5,prespecified,2778,0.8563714902807775,0.5,0.0,0.0,1.0,0.0,0.39118322713984377,0.11723602789168973,2379,0,399,0,0.5,0.7667387257551193,0.36011119450183277,5.469225350822062,4.493581582240021,0.0183585313174946,51,0.0183585313174946,51,51.0,0.7490228105119792,0.7490228105119792,0.7490228105119795,51,0.025550800697955237,1.0,51,0.7490228105119795
logistic:single_LR03,1.5,validation,fixed_threshold_0.5,prespecified,2778,0.8563714902807775,0.5,0.0,0.0,1.0,0.0,0.3910258905253207,0.11699216766221718,2379,0,399,0,0.5,0.7549016509327122,0.3284311006623365,3.727415468771217,3.561710907656793,0.023758099352051837,66,0.023758099352051837,66,66.0,0.7262644400565308,0.7262644400565308,0.7262644400565308,66,0.030932794929953707,1.0,66,0.7262644400565308
logistic:single_LR03,1.5,test,fixed_threshold_0.5,prespecified,2778,0.8563714902807775,0.5,0.0,0.0,1.0,0.0,0.3900654567780311,0.1166908119689152,2379,0,399,0,0.5,0.7659970649616895,0.3579405710650329,4.405002683971613,3.9751630790340107,0.0183585313174946,51,0.0183585313174946,51,51.0,0.7247440096102608,0.7247440096102608,0.7247440096102608,51,0.023881129286640733,1.0,51,0.7247440096102608
logistic:single_LR03,2.0,validation,fixed_threshold_0.5,prespecified,2778,0.8563714902807775,0.5,0.0,0.0,1.0,0.0,0.3906344372883778,0.11668209405085064,2379,0,399,0,0.5,0.7539914308680487,0.3272757716764045,3.0279009669336814,3.2185328592552027,0.023758099352051837,66,0.023758099352051837,66,66.0,0.7035663056894038,0.7035663056894038,0.7035663056894039,66,0.029058164110266797,1.0,66,0.7035663056894039
logistic:single_LR03,2.0,test,fixed_threshold_0.5,prespecified,2778,0.8563714902807775,0.5,0.0,0.0,1.0,0.0,0.38944876557588654,0.11629609645886561,2379,0,399,0,0.5,0.7653112394268563,0.3560706321160566,3.624494871316245,3.5928084178991186,0.0183585313174946,51,0.0183585313174946,51,51.0,0.7014974571562842,0.7014974571562842,0.7014974571562842,51,0.022414572126702986,1.0,51,0.7014974571562842
