reporting_strategy,algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
primary_common,XGBoost,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.7584593232541397,0.7327761395923604,0.3357487922705314,0.6967418546365914,0.7688104245481294,0.4531377343113284,0.3291223672462998,0.0981857885924432,1829,550,121,278,0.176466839134463,0.8036995599549525,0.466834644514072,-0.1254640612444213,1.0205112273465973,0.0190784737221022,53,0.0190784737221022,639,864.5,0.5189360444122836,0.4992024787773004,0.5017041208671862,566,0.2655939479130623,0.082942097026604,5,23,5,6,14,0.740218767330026,0.1083107839349324,0.5489085206203551,0.6650865335439761,0.5748551062338101
primary_common,LightGBM,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.7419006479481641,0.7210222909101252,0.3172413793103448,0.6917293233082706,0.7503152585119798,0.4349881796690307,0.3292399450303464,0.0980506446943396,1785,594,123,276,0.1620460991482594,0.8017769307674398,0.4696461188604691,-0.1550681316042645,0.9796971681275825,0.0176385889128869,49,0.0176385889128869,639,864.5,0.5172276318233672,0.4970385112665947,0.5001659426740935,566,0.2670209372884653,0.0766823161189358,5,21,5,6,12,0.701541553379624,0.1024667626699693,0.5455467553249469,0.6648179079860408,0.5744376009398982
primary_common,Logistic Regression,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.6159107271418287,0.6964811145139014,0.245814307458143,0.8095238095238095,0.5834384195039932,0.3771161704611792,0.3954876328807399,0.1188529424855129,1388,991,76,323,0.1407551180350323,0.7686992807786595,0.3669462263354828,9.342020050892833,6.359396371430544,0.0201583873290136,57,0.0205183585313174,639,864.5,0.7399690318699369,0.7094589464809056,0.7170886026318833,566,0.4842736360764472,0.0892018779342723,4,31,1,19,2,0.8279708143968035,0.135103316950022,0.7998284295605904,0.8928541062428719,0.8264255487816486
primary_common,Neural Network (MLP),0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7210223182145429,0.7296915049287784,0.3057851239669421,0.7418546365914787,0.7175283732660782,0.4330651060716898,0.3266836116287911,0.0970622717167395,1707,672,103,296,0.118138941625754,0.8034056347257382,0.486491531883908,0.2459355923922429,1.100790695498748,0.0215982721382289,62,0.0223182145428365,639,864.5,0.6017590767181642,0.5774755367074486,0.5790998315232556,566,0.3561499097824015,0.0970266040688575,6,14,8,8,26,0.8299908118632933,0.0655157441779235,0.6984573519892162,0.8201171990091863,0.6705714140434289
secondary_per_lambda_optimized,XGBoost,0.1,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7541396688264939,0.7312970319872822,0.331353919239905,0.6992481203007519,0.7633459436738125,0.4496373892022562,0.3291223672462998,0.0981857885924432,1816,563,120,279,0.1724259389767868,0.8036995599549525,0.466834644514072,-0.1254640612444213,1.0205112273465973,0.0172786177105831,48,0.0172786177105831,639,864.5,0.5189360444122836,0.4992024787773004,0.5017041208671862,566,0.2655939479130623,0.0751173708920187,5,24,5,6,8,0.740218767330026,0.1083107839349324,0.5489085206203551,0.6650865335439761,0.5748551062338101
secondary_per_lambda_optimized,LightGBM,0.1,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7627789776817855,0.7227826817990752,0.3358585858585858,0.6666666666666666,0.7788986969314838,0.4466834592779177,0.3292399450303464,0.0980506446943396,1853,526,133,266,0.1788337780006686,0.8017769307674398,0.4696461188604691,-0.1550681316042645,0.9796971681275825,0.0205183585313174,57,0.0205183585313174,639,864.5,0.5172276318233672,0.4970385112665947,0.5001659426740935,566,0.2670209372884653,0.0892018779342723,5,20,6,6,20,0.701541553379624,0.1024667626699693,0.5455467553249469,0.6648179079860408,0.5744376009398982
secondary_per_lambda_optimized,Logistic Regression,0.0,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6159107271418287,0.6964811145139014,0.245814307458143,0.8095238095238095,0.5834384195039932,0.3771161704611792,0.3954876328807399,0.1188529424855129,1388,991,76,323,0.1407551180350323,0.7686992807786595,0.3669462263354828,9.342020050892833,6.359396371430544,0.0201583873290136,57,0.0205183585313174,639,864.5,0.7399690318699369,0.7094589464809056,0.7170886026318833,566,0.4842736360764472,0.0892018779342723,4,31,1,19,2,0.8279708143968035,0.135103316950022,0.7998284295605904,0.8928541062428719,0.8264255487816486
secondary_per_lambda_optimized,Neural Network (MLP),0.0,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7210223182145429,0.7296915049287784,0.3057851239669421,0.7418546365914787,0.7175283732660782,0.4330651060716898,0.3266836116287911,0.0970622717167395,1707,672,103,296,0.118138941625754,0.8034056347257382,0.486491531883908,0.2459355923922429,1.100790695498748,0.0215982721382289,62,0.0223182145428365,639,864.5,0.6017590767181642,0.5774755367074486,0.5790998315232556,566,0.3561499097824015,0.0970266040688575,6,14,8,8,26,0.8299908118632933,0.0655157441779235,0.6984573519892162,0.8201171990091863,0.6705714140434289
sensitivity_fixed,XGBoost,0.1,test,fixed_threshold_0.5,prespecified,2778,0.871130309575234,0.632729364394593,0.6040609137055838,0.2982456140350877,0.9672131147540984,0.3993288590604026,0.3291223672462998,0.0981857885924432,2301,78,280,119,0.5,0.8036995599549525,0.466834644514072,-0.1254640612444213,1.0205112273465973,0.1123110151187904,332,0.1195104391648668,639,864.5,0.5189360444122836,0.4992024787773004,0.5017041208671862,566,0.2655939479130623,0.5195618153364632,8,0,27,15,282,0.740218767330026,0.1083107839349324,0.5489085206203551,0.6650865335439761,0.5748551062338101
sensitivity_fixed,LightGBM,0.1,test,fixed_threshold_0.5,prespecified,2778,0.8722102231821455,0.6385746838723543,0.6078431372549019,0.3107769423558897,0.9663724253888188,0.4112769485903814,0.3292399450303464,0.0980506446943396,2299,80,275,124,0.5,0.8017769307674398,0.4696461188604691,-0.1550681316042645,0.9796971681275825,0.1097912167026637,326,0.1173506119510439,639,864.5,0.5172276318233672,0.4970385112665947,0.5001659426740935,566,0.2670209372884653,0.5101721439749609,7,0,28,16,275,0.701541553379624,0.1024667626699693,0.5455467553249469,0.6648179079860408,0.5744376009398982
sensitivity_fixed,Logistic Regression,0.0,test,fixed_threshold_0.5,prespecified,2778,0.8563714902807775,0.5,0.0,0.0,1.0,0.0,0.3954876328807399,0.1188529424855129,2379,0,399,0,0.5,0.7686992807786595,0.3669462263354828,9.342020050892833,6.359396371430544,0.1753059755219582,531,0.1911447084233261,639,864.5,0.7399690318699369,0.7094589464809056,0.7170886026318833,566,0.4842736360764472,0.8309859154929577,10,0,51,19,451,0.8279708143968035,0.135103316950022,0.7998284295605904,0.8928541062428719,0.8264255487816486
sensitivity_fixed,Neural Network (MLP),0.0,test,fixed_threshold_0.5,prespecified,2778,0.8740100791936645,0.5906064025132187,0.7333333333333333,0.1929824561403508,0.9882303488860866,0.3055555555555556,0.3266836116287911,0.0970622717167395,2351,28,322,77,0.5,0.8034056347257382,0.486491531883908,0.2459355923922429,1.100790695498748,0.1457883369330453,445,0.160187185025198,639,864.5,0.6017590767181642,0.5774755367074486,0.5790998315232556,566,0.3561499097824015,0.6964006259780907,10,0,47,19,369,0.8299908118632933,0.0655157441779235,0.6984573519892162,0.8201171990091863,0.6705714140434289
