algorithm,algorithm_key,fold,selected_penalty_multiplier,delta_balanced_accuracy,delta_recall_sensitivity,delta_specificity,delta_roc_auc,delta_average_precision,delta_log_loss,delta_brier_score,delta_patient_violation_rate,delta_soft_rule_violation
XGBoost,xgboost,1,0.1,-0.007201168115749668,0.01754385964912286,-0.031946195880622086,-0.0007258583617512082,-0.007978791228509974,0.0036594274377369507,0.0016932727553296972,-0.019438444924406,-0.06769512345426887
XGBoost,xgboost,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XGBoost,xgboost,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XGBoost,xgboost,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XGBoost,xgboost,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XGBoost,xgboost,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XGBoost,xgboost,7,0.1,-0.002849032800672946,0.025000000000000022,-0.030698065601345692,0.001425042052144665,0.0031986949052839053,0.0020979640481751383,0.001086103069343397,-0.0262778977681786,-0.070597880351838
XGBoost,xgboost,8,0.1,-0.0024224775563804757,0.03258145363408527,-0.03742640874684611,-0.0009812167087185353,0.0015364393995068726,0.0014985869388952633,0.0007266197741300912,-0.0212459488656823,-0.06567822652648692
XGBoost,xgboost,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XGBoost,xgboost,10,0.1,-0.01058048822645341,0.020050125313283207,-0.04121110176619014,-0.0005501558774985149,-0.0008295724861738241,0.0036822605756923754,0.0011394111086575065,-0.023406553835073902,-0.07215416176400291
LightGBM,lightgbm,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LightGBM,lightgbm,2,0.1,-0.006166947014297652,0.015000000000000013,-0.02733389402859543,-0.0026109125315391113,-0.0025345118103137776,0.0038330771116765194,0.00147497560786429,-0.013678905687545002,-0.06833287590547599
LightGBM,lightgbm,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LightGBM,lightgbm,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LightGBM,lightgbm,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LightGBM,lightgbm,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LightGBM,lightgbm,7,0.1,-0.006984861227922634,0.010000000000000009,-0.023969722455845277,-0.00014455424726655952,-0.004518623163833668,0.0027677035130466154,0.0013440673676795994,-0.0161987041036717,-0.06900657983751457
LightGBM,lightgbm,8,0.1,0.0027750199721339186,0.05012531328320802,-0.04457527333894029,-0.0027781817875216497,0.0025184814860478855,0.0022331203601276273,0.0009831851029624972,-0.029888368743248104,-0.06343286179247654
LightGBM,lightgbm,9,0.1,-0.009546047625371257,0.02506265664160401,-0.04415475189234652,-0.0025663401565308996,-0.0008823323694197027,0.002532816075355049,0.000914662843475203,-0.027727763773856703,-0.06535967606764292
LightGBM,lightgbm,10,0.1,0.0035907683422181647,0.057644110275689275,-0.05046257359125306,-0.0004758532158825046,-0.0011224705177532712,0.003139061284162692,0.0009610380640184962,-0.04105149441843721,-0.06846354976803404
Logistic Regression,logistic,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Logistic Regression,logistic,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Logistic Regression,logistic,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Logistic Regression,logistic,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Logistic Regression,logistic,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Logistic Regression,logistic,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Logistic Regression,logistic,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Logistic Regression,logistic,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Logistic Regression,logistic,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Logistic Regression,logistic,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neural Network (MLP),neural,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neural Network (MLP),neural,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neural Network (MLP),neural,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neural Network (MLP),neural,4,0.1,0.0010929341857587316,0.05012531328320802,-0.04793944491169044,-0.00033515243111992277,0.0017546369266402961,0.002504275299561598,0.001177318696122892,-0.0241267554915376,-0.06242011057513497
Neural Network (MLP),neural,5,0.1,0.0033973706343233268,0.05263157894736836,-0.0458368376787216,-0.003919597142561848,-0.0046190898074753295,0.002983478677054896,0.0009939672744606887,-0.029888368743248097,-0.05986105124432095
Neural Network (MLP),neural,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neural Network (MLP),neural,7,0.1,-0.009531118587047915,0.015000000000000013,-0.034062237174095955,-0.0005761143818334702,-0.0030685914695091077,0.0033427960509178067,0.0012506342663457931,-0.0172786177105831,-0.06338800345501716
Neural Network (MLP),neural,8,0.1,-0.002203785325382457,0.03007518796992481,-0.034482758620689724,0.0026200910181257697,-0.0031320748295315948,0.0006214958877520105,0.0006916434305736935,-0.018725243068059002,-0.055068908777851755
Neural Network (MLP),neural,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neural Network (MLP),neural,10,0.25,-0.003373130049682649,0.06516290726817042,-0.07190916736753572,-0.0006355248929725832,-0.000516506865081312,0.008712458715146254,0.003764607430735506,-0.0471732084983795,-0.13835005585111088
